parameter.mean	parameter.median	parameter.sd	parameter.lower.ci	parameter.upper.ci
3.13256763934595	3.03296316305883	4.66778823155037	-5.81256962990337	12.3660967925437
3.35117510518215	3.26392449592766	4.80146114018459	-5.75078408681241	13.0687520088233
-4.28834747943433	-4.19428522772841	4.7014255377189	-13.9396150862089	4.62158319972588
-3.55860566581294	-3.45120890463481	4.73415279245338	-13.1333229649555	5.42972117212911
-3.42749820940488	-3.27870825659333	4.75737849270444	-13.2314922575627	5.60765135120392
-3.00296693653184	-2.92317460027495	4.75451535238573	-12.6373563813418	6.03546157545873
2.38683677233623	2.28028428266365	4.800618633448	-6.72996857040427	12.0747767714058
2.91285512710357	2.78240916241134	4.81406342363407	-6.13181134572985	12.7499835769393
3.14164053214638	3.0490434349638	4.70826695373092	-6.00459765931783	12.5744428858792
3.39899957790736	3.28373502474497	4.8289975730757	-5.64784301673047	13.1961090252368
-4.37187903506282	-4.25243908569299	4.74449483231989	-14.0198157001791	4.72930344642119
-3.59923352601417	-3.50243064359673	4.75711779926528	-13.2289605918765	5.33295922410254
-3.465270007034	-3.33659899115843	4.77915761032157	-13.217173924792	5.49350073813372
-3.03056247134625	-2.94820769936507	4.75418652919892	-12.582925321605	6.04522351415073
2.35680316551263	2.29580896261558	4.80149671432592	-6.7030718769364	11.992399164879
2.88301674341192	2.7950232654994	4.82979151545841	-6.24799544151839	12.5674595140424
3.13874330292289	3.00397437472507	4.72820872490396	-6.11340965516989	12.555323512163
3.41311299069103	3.3126832643581	4.85484850905827	-5.72508113133199	13.3207569245817
-4.44436982022381	-4.33360916269348	4.76280225077782	-14.1790130602198	4.57054938779989
-3.61234475570622	-3.47264051881602	4.74455718144429	-13.2198555193621	5.39669615650664
-3.483911385873	-3.34447548585631	4.79276136068328	-13.3043754694667	5.50273822719205
-3.02221730916135	-2.9375317261943	4.74741891992906	-12.5291275068661	6.0800759947135
2.28230929723307	2.18091868500116	4.79279634210029	-6.83615199835649	11.8887552255166
2.87391636744788	2.78365828526028	4.83899911815398	-6.27933109206263	12.5673777591949
3.14991762604899	3.06243338257607	4.77468453489838	-6.19206137765099	12.5982584589975
3.40401874489223	3.28428799984211	4.85681340593818	-5.79666701742056	13.2655071325627
-4.50890762419992	-4.4417553572667	4.72055174081524	-14.1806364430837	4.50736580862056
-3.64790580217861	-3.50353095425385	4.72122033078611	-13.3097116134857	5.1598758588811
-3.47512451340125	-3.28486345156277	4.7602939807387	-13.1853956108661	5.49323246553856
-3.01617898053019	-2.92735115933667	4.72355151576818	-12.4336390426589	5.9721782177049
2.212381033759	2.12798503470785	4.77324954004622	-6.838737321023	11.7804546907011
2.8680231658858	2.75604573606328	4.82149655082924	-6.23365062510816	12.6466114349066
